kp_id,name,subject,stage,grade,tier,score,issue_count,issues,cp_count,deep_count,deep_types,md_chars,exercise_count,error_count,has_real_world,path
ancient-china-h,中国古代史：文明起源与制度演进总览,history,high,10,A,100,0,,2,4,local_textbook_markdown:4,1041,3,2,True,data/kp/history/ancient-china-h.json
bio-h-atp,ATP 与能量代谢,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,904,3,2,True,data/kp/biology/bio-h-atp.json
bio-h-biodiversity-h,生物多样性及其保护,biology,high,11,A,100,0,,2,4,local_textbook_markdown:4,1002,3,2,True,data/kp/biology/bio-h-biodiversity-h.json
bio-h-blood-sugar-regulation,血糖调节与糖尿病,biology,high,11,A,100,0,,2,4,local_textbook_markdown:4,1025,3,2,True,data/kp/biology/bio-h-blood-sugar-regulation.json
bio-h-breeding,育种,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,965,3,2,True,data/kp/biology/bio-h-breeding.json
bio-h-cancer-cell,癌细胞与癌症防治,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,958,3,2,True,data/kp/biology/bio-h-cancer-cell.json
bio-h-cell-aging-apoptosis,细胞衰老与凋亡,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,926,3,2,True,data/kp/biology/bio-h-cell-aging-apoptosis.json
bio-h-cell-cycle,细胞周期,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,968,3,2,True,data/kp/biology/bio-h-cell-cycle.json
bio-h-cell-differentiation,细胞分化,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,983,3,2,True,data/kp/biology/bio-h-cell-differentiation.json
bio-h-cell-division,细胞分裂综合,biology,high,10,A,100,0,,3,4,local_textbook_markdown:4,1013,3,2,True,data/kp/biology/bio-h-cell-division.json
bio-h-cell-membrane,细胞膜结构,biology,high,10,A,100,0,,3,4,local_textbook_markdown:4,1014,3,2,True,data/kp/biology/bio-h-cell-membrane.json
bio-h-cell-metabolism,细胞代谢总论,biology,high,10,A,100,0,,4,4,local_textbook_markdown:4,986,3,2,True,data/kp/biology/bio-h-cell-metabolism.json
bio-h-cell-structure,细胞总论,biology,high,10,A,100,0,,4,4,local_textbook_markdown:4,1099,3,2,True,data/kp/biology/bio-h-cell-structure.json
bio-h-cellular-respiration,细胞呼吸,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,924,3,2,True,data/kp/biology/bio-h-cellular-respiration.json
bio-h-chromosome-variation,染色体变异,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,989,3,2,True,data/kp/biology/bio-h-chromosome-variation.json
bio-h-community,群落,biology,high,11,A,100,0,,3,4,local_textbook_markdown:4,967,3,2,True,data/kp/biology/bio-h-community.json
bio-h-dna-gene,DNA 与基因综合,biology,high,10,A,100,0,,3,4,local_textbook_markdown:4,1063,3,2,True,data/kp/biology/bio-h-dna-gene.json
bio-h-dna-is-genetic-material,DNA 是遗传物质,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,979,3,2,True,data/kp/biology/bio-h-dna-is-genetic-material.json
bio-h-dna-replication,DNA 复制,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,887,3,2,True,data/kp/biology/bio-h-dna-replication.json
bio-h-dna-structure,DNA 分子结构,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,1031,3,2,True,data/kp/biology/bio-h-dna-structure.json
bio-h-ecosystem,生态系统总论,biology,high,11,A,100,0,,2,4,local_textbook_markdown:4,944,3,2,True,data/kp/biology/bio-h-ecosystem.json
bio-h-ecosystem-stability,生态系统稳定性,biology,high,11,A,100,0,,3,4,local_textbook_markdown:4,979,3,2,True,data/kp/biology/bio-h-ecosystem-stability.json
bio-h-ecosystem-structure,生态系统结构,biology,high,11,A,100,0,,3,4,local_textbook_markdown:4,1121,3,2,True,data/kp/biology/bio-h-ecosystem-structure.json
bio-h-elements-compounds,组成细胞的元素与化合物,biology,high,10,A,100,0,,4,4,local_textbook_markdown:4,1088,3,2,True,data/kp/biology/bio-h-elements-compounds.json
bio-h-endomembrane-system,生物膜系统,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,962,3,2,True,data/kp/biology/bio-h-endomembrane-system.json
bio-h-energy-flow,生态系统能量流动,biology,high,11,A,100,0,,2,4,local_textbook_markdown:4,1035,3,2,True,data/kp/biology/bio-h-energy-flow.json
bio-h-enzyme,酶,biology,high,10,A,100,0,,2,4,local_textbook_markdown:4,931,3,2,True,data/kp/biology/bio-h-enzyme.json
