kp_id,name,subject,subject_zh,stage,grade,curriculum,domain,path,curriculum_points_count,excerpts_count,curriculum_md_chars,has_curriculum_md,textbook_chapter,textbook_chars,has_usable_textbook,exercises_count,errors_count,interactive_count,real_world_count,has_teaching_methods,has_extensions,gap_count,gaps,quality_flags
ancient-china-h,中国古代史：文明起源与制度演进总览,history,历史,high,10,cn,中国古代史,data/kp/history/ancient-china-h.json,2,2,0,False,,43,False,2,2,0,0,False,False,5,missing_curriculum_md_raw;missing_usable_textbook;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-atp,ATP 与能量代谢,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-atp.json,2,108,0,False,,34296,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-biodiversity-h,生物多样性及其保护,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-biodiversity-h.json,2,67,2431,True,,20398,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-blood-sugar-regulation,血糖调节与糖尿病,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-blood-sugar-regulation.json,2,27,0,False,,9811,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-breeding,育种,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-breeding.json,2,20,0,False,,7427,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-cancer-cell,癌细胞与癌症防治,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cancer-cell.json,2,58,0,False,,21021,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-cell-aging-apoptosis,细胞衰老与凋亡,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-aging-apoptosis.json,2,50,0,False,,17464,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-cell-cycle,细胞周期,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-cycle.json,2,81,0,False,,21338,True,2,2,1,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
bio-h-cell-differentiation,细胞分化,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-differentiation.json,2,50,2384,True,,15373,True,2,2,1,0,True,True,2,real_world<1;quality_flags,textbook_reference_only;has_placeholder;cross_subject_history_template;cross_subject_math_template
bio-h-cell-division,细胞分裂综合,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-division.json,3,57,0,False,,22101,True,2,2,2,0,False,False,5,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1;quality_flags,cross_subject_history_template
