kp_id,name,subject,subject_zh,stage,grade,curriculum,domain,path,curriculum_points_count,excerpts_count,curriculum_md_chars,has_curriculum_md,textbook_chapter,textbook_chars,has_usable_textbook,exercises_count,errors_count,interactive_count,real_world_count,has_teaching_methods,has_extensions,gap_count,gaps,quality_flags
ancient-china-h,中国古代史：文明起源与制度演进总览,history,历史,high,10,cn,中国古代史,data/kp/history/ancient-china-h.json,2,2,0,False,,2230,True,2,3,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-atp,ATP 与能量代谢,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-atp.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-biodiversity-h,生物多样性及其保护,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-biodiversity-h.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-blood-sugar-regulation,血糖调节与糖尿病,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-blood-sugar-regulation.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-breeding,育种,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-breeding.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-cancer-cell,癌细胞与癌症防治,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cancer-cell.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-cell-aging-apoptosis,细胞衰老与凋亡,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-aging-apoptosis.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-cell-cycle,细胞周期,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-cycle.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-cell-differentiation,细胞分化,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-differentiation.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-cell-division,细胞分裂综合,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-division.json,3,3,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-cell-membrane,细胞膜结构,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-cell-membrane.json,3,3,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-cell-metabolism,细胞代谢总论,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-cell-metabolism.json,4,4,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-cell-structure,细胞总论,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-cell-structure.json,4,4,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-cellular-respiration,细胞呼吸,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-cellular-respiration.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-chromosome-variation,染色体变异,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-chromosome-variation.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-community,群落,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-community.json,3,3,0,False,选择性必修二 第2章,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-dna-gene,DNA 与基因综合,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-gene.json,3,3,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-dna-is-genetic-material,DNA 是遗传物质,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-is-genetic-material.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-dna-replication,DNA 复制,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-replication.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-dna-structure,DNA 分子结构,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-structure.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-ecosystem,生态系统总论,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-ecosystem.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-ecosystem-stability,生态系统稳定性,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-ecosystem-stability.json,3,3,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-ecosystem-structure,生态系统结构,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-ecosystem-structure.json,3,3,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-elements-compounds,组成细胞的元素与化合物,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-elements-compounds.json,4,4,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
bio-h-endomembrane-system,生物膜系统,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-endomembrane-system.json,2,2,0,False,,393,True,2,2,0,0,False,False,4,missing_curriculum_md_raw;missing_teaching_methods;missing_extensions;real_world<1,
