kp_id,name,subject,subject_zh,stage,grade,curriculum,domain,path,curriculum_points_count,excerpts_count,curriculum_md_chars,has_curriculum_md,textbook_chapter,textbook_chars,has_usable_textbook,exercises_count,errors_count,interactive_count,real_world_count,has_teaching_methods,has_extensions,gap_count,gaps,quality_flags
ancient-china-h,中国古代史：文明起源与制度演进总览,history,历史,high,10,cn,中国古代史,data/kp/history/ancient-china-h.json,2,2,1040,True,,5931,True,3,2,0,1,True,True,0,,
bio-h-atp,ATP 与能量代谢,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-atp.json,2,2,903,True,,5122,True,3,2,0,1,True,True,0,,
bio-h-biodiversity-h,生物多样性及其保护,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-biodiversity-h.json,2,2,1001,True,,5722,True,3,2,0,1,True,True,0,,
bio-h-blood-sugar-regulation,血糖调节与糖尿病,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-blood-sugar-regulation.json,2,2,1024,True,,5122,True,3,2,0,1,True,True,0,,
bio-h-breeding,育种,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-breeding.json,2,2,964,True,,5122,True,3,2,0,1,True,True,0,,
bio-h-cancer-cell,癌细胞与癌症防治,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cancer-cell.json,2,2,957,True,,5261,True,3,2,0,1,True,True,0,,
bio-h-cell-aging-apoptosis,细胞衰老与凋亡,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-aging-apoptosis.json,2,2,925,True,,5261,True,3,2,0,1,True,True,0,,
bio-h-cell-cycle,细胞周期,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-cycle.json,2,2,967,True,,5767,True,3,2,0,1,True,True,0,,
bio-h-cell-differentiation,细胞分化,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-differentiation.json,2,2,982,True,,5261,True,3,2,0,1,True,True,0,,
bio-h-cell-division,细胞分裂综合,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-cell-division.json,3,3,1012,True,,5190,True,3,2,0,1,True,True,0,,
bio-h-cell-membrane,细胞膜结构,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-cell-membrane.json,3,3,1013,True,,5788,True,3,2,0,1,True,True,0,,
bio-h-cell-metabolism,细胞代谢总论,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-cell-metabolism.json,4,4,985,True,,5261,True,3,2,0,1,True,True,0,,
bio-h-cell-structure,细胞总论,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-cell-structure.json,4,4,1098,True,,5261,True,3,2,0,1,True,True,0,,
bio-h-cellular-respiration,细胞呼吸,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-cellular-respiration.json,2,2,923,True,,5441,True,3,2,0,1,True,True,0,,
bio-h-chromosome-variation,染色体变异,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-chromosome-variation.json,2,2,988,True,,5713,True,3,2,0,1,True,True,0,,
bio-h-community,群落,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-community.json,3,3,966,True,选择性必修二 第2章,5122,True,3,2,0,1,True,True,0,,
bio-h-dna-gene,DNA 与基因综合,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-gene.json,3,3,1062,True,,5722,True,3,2,0,1,True,True,0,,
bio-h-dna-is-genetic-material,DNA 是遗传物质,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-is-genetic-material.json,2,2,978,True,,5695,True,3,2,0,1,True,True,0,,
bio-h-dna-replication,DNA 复制,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-replication.json,2,2,886,True,,5695,True,3,2,0,1,True,True,0,,
bio-h-dna-structure,DNA 分子结构,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-dna-structure.json,2,2,1030,True,,5695,True,3,2,0,1,True,True,0,,
bio-h-ecosystem,生态系统总论,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-ecosystem.json,2,2,943,True,,5716,True,3,2,0,1,True,True,0,,
bio-h-ecosystem-stability,生态系统稳定性,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-ecosystem-stability.json,3,3,978,True,,5716,True,3,2,0,1,True,True,0,,
bio-h-ecosystem-structure,生态系统结构,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-ecosystem-structure.json,3,3,1120,True,,5716,True,3,2,0,1,True,True,0,,
bio-h-elements-compounds,组成细胞的元素与化合物,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-elements-compounds.json,4,4,1087,True,,5261,True,3,2,0,1,True,True,0,,
bio-h-endomembrane-system,生物膜系统,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-endomembrane-system.json,2,2,961,True,,5122,True,3,2,0,1,True,True,0,,
bio-h-energy-flow,生态系统能量流动,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-energy-flow.json,2,2,1034,True,,5716,True,3,2,0,1,True,True,0,,
bio-h-enzyme,酶,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-enzyme.json,2,2,930,True,,4969,True,3,2,0,1,True,True,0,,
bio-h-evolution-evidence,生物进化的证据,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-evolution-evidence.json,2,2,975,True,,5200,True,3,2,0,1,True,True,0,,
bio-h-gene-concept,基因的概念与表达,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-gene-concept.json,2,2,970,True,,5725,True,3,2,0,1,True,True,0,,
bio-h-gene-mutation,基因突变,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-gene-mutation.json,2,2,973,True,,5701,True,3,2,0,1,True,True,0,,
bio-h-gene-regulation,基因表达调控,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-gene-regulation.json,2,2,894,True,,5797,True,3,2,0,1,True,True,0,,
bio-h-gene-to-protein,从基因到蛋白质,biology,生物,high,10,cn,基因的分子基础,data/kp/biology/bio-h-gene-to-protein.json,3,3,964,True,,4881,True,3,2,0,1,True,True,0,,
bio-h-genetic-variation,遗传变异综合,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-genetic-variation.json,3,3,1026,True,,5713,True,3,2,0,1,True,True,0,,
bio-h-genetics-mendel,孟德尔遗传综合,biology,生物,high,10,cn,孟德尔遗传定律,data/kp/biology/bio-h-genetics-mendel.json,2,2,983,True,,5582,True,3,2,0,1,True,True,0,,
bio-h-human-genetics,人类遗传病,biology,生物,high,10,cn,孟德尔遗传定律,data/kp/biology/bio-h-human-genetics.json,2,2,990,True,,5582,True,3,2,0,1,True,True,0,,
bio-h-humoral-regulation,体液调节,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-humoral-regulation.json,3,3,988,True,选择性必修一 第3章,5122,True,3,2,0,1,True,True,0,,
bio-h-immune-regulation,免疫调节,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-immune-regulation.json,3,3,954,True,选择性必修一 第4章,5710,True,3,2,0,1,True,True,0,,
bio-h-information-transmission,生态系统信息传递,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-information-transmission.json,2,2,1045,True,,5716,True,3,2,0,1,True,True,0,,
bio-h-internal-environment,内环境与稳态,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-internal-environment.json,2,2,1066,True,选择性必修一 第1章,5122,True,3,2,0,1,True,True,0,,
bio-h-material-cycle-h,生态系统物质循环,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-material-cycle-h.json,2,2,1034,True,,5716,True,3,2,0,1,True,True,0,,
bio-h-meiosis,减数分裂,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-meiosis.json,2,2,1045,True,,5708,True,3,2,0,1,True,True,0,,
bio-h-mendel-law-1,分离定律,biology,生物,high,10,cn,孟德尔遗传定律,data/kp/biology/bio-h-mendel-law-1.json,2,2,886,True,,5122,True,3,2,0,1,True,True,0,,
bio-h-mendel-law-2,自由组合定律,biology,生物,high,10,cn,孟德尔遗传定律,data/kp/biology/bio-h-mendel-law-2.json,2,2,975,True,,5122,True,3,2,0,1,True,True,0,,
bio-h-mitosis,有丝分裂,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-mitosis.json,3,3,978,True,,5710,True,3,2,0,1,True,True,0,,
bio-h-natural-selection,自然选择与适应,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-natural-selection.json,2,2,975,True,,5809,True,3,2,0,1,True,True,0,,
bio-h-nervous-humoral-immune,神经—体液—免疫综合,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-nervous-humoral-immune.json,3,3,1079,True,,5710,True,3,2,0,1,True,True,0,,
bio-h-nervous-regulation,神经调节,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-nervous-regulation.json,3,3,1031,True,选择性必修一 第2章,5778,True,3,2,0,1,True,True,0,,
bio-h-nucleus,细胞核,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-nucleus.json,2,2,865,True,,5261,True,3,2,0,1,True,True,0,,
bio-h-organelles,细胞器,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-organelles.json,4,4,1016,True,,5444,True,3,2,0,1,True,True,0,,
bio-h-photosynthesis,光合作用,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-photosynthesis.json,3,3,1026,True,,5728,True,3,2,0,1,True,True,0,,
bio-h-photosynthesis-respiration-relation,光合与呼吸的关系,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-photosynthesis-respiration-relation.json,3,3,1036,True,,5122,True,3,2,0,1,True,True,0,,
bio-h-plant-hormone,植物激素调节,biology,生物,high,11,cn,稳态与调节,data/kp/biology/bio-h-plant-hormone.json,4,4,1030,True,,5715,True,3,2,0,1,True,True,0,,
bio-h-population,种群及其特征,biology,生物,high,11,cn,生态学,data/kp/biology/bio-h-population.json,3,3,969,True,,5122,True,3,2,0,1,True,True,0,,
bio-h-prokaryote-eukaryote,原核细胞与真核细胞,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-prokaryote-eukaryote.json,2,2,945,True,,5261,True,3,2,0,1,True,True,0,,
bio-h-protein-nucleic-acid,蛋白质与核酸,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-protein-nucleic-acid.json,2,2,998,True,,5398,True,3,2,0,1,True,True,0,,
bio-h-sex-linked-inheritance,伴性遗传,biology,生物,high,10,cn,孟德尔遗传定律,data/kp/biology/bio-h-sex-linked-inheritance.json,2,2,890,True,,5582,True,3,2,0,1,True,True,0,,
bio-h-speciation,物种形成,biology,生物,high,10,cn,变异与进化,data/kp/biology/bio-h-speciation.json,2,2,933,True,,5413,True,3,2,0,1,True,True,0,,
bio-h-stem-cell,干细胞,biology,生物,high,10,cn,细胞的生命历程,data/kp/biology/bio-h-stem-cell.json,2,2,993,True,,5261,True,3,2,0,1,True,True,0,,
bio-h-sugar-lipid,糖类与脂质,biology,生物,high,10,cn,细胞的结构,data/kp/biology/bio-h-sugar-lipid.json,2,2,919,True,,4775,True,3,2,0,1,True,True,0,,
bio-h-transport-across-membrane,物质跨膜运输,biology,生物,high,10,cn,细胞代谢,data/kp/biology/bio-h-transport-across-membrane.json,4,4,902,True,,5122,True,3,2,0,1,True,True,0,,
bio-m-animal-behavior,动物行为,biology,生物,middle,8,cn,动物、微生物与健康,data/kp/biology/bio-m-animal-behavior.json,2,2,1330,True,,5705,True,3,2,0,1,True,True,0,,
bio-m-animal-diversity,动物的主要类群,biology,生物,middle,8,cn,动物、微生物与健康,data/kp/biology/bio-m-animal-diversity.json,3,3,943,True,,5705,True,3,2,0,1,True,True,0,,
bio-m-asexual-reproduction,植物的无性生殖,biology,生物,middle,7,cn,植物的结构与生理,data/kp/biology/bio-m-asexual-reproduction.json,3,3,975,True,,5824,True,3,2,0,1,True,True,0,,
bio-m-bio-characteristics,生物的基本特征,biology,生物,middle,7,cn,生物体的结构层次,data/kp/biology/bio-m-bio-characteristics.json,3,3,1025,True,,5115,True,3,2,0,1,True,True,0,,
bio-m-bio-classification,生物分类,biology,生物,middle,8,cn,生物多样性与跨学科实践,data/kp/biology/bio-m-bio-classification.json,3,3,950,True,,5115,True,3,2,0,1,True,True,0,,
